Class,Code,Description,RFC,Explanation
Informational,100,Continue,RFC 7231,The client may continue with its request. This interim response is used to inform the client that the initial part of the request has been received and has not yet been rejected by the server. The client SHOULD continue by sending the remainder of the request or if the request has already been completed ignore this response. The server MUST send a final response after the request has been completed.
Informational,101,Switching Protocols,RFC 7231,The server understands and is willing to comply with the client's request via the Upgrade message header field (section 14.41) for a change in the application protocol being used on this connection. The server will switch protocols to those defined by the response's Upgrade header field immediately after the empty line which terminates the 101 response. The protocol should only be switched when it is advantageous to do so. For example switching to a newer version of HTTP is advantageous over older versions and switching to a real-time synchronous protocol may be advantageous when delivering resources that use such features.
Informational,102,Processing,RFC 2518 WebDAV,As a WebDAV request may contain many sub-requests involving file operations it may take a long time to complete the request. This code indicates that the server has received and is processing the request but no response is available yet.[8] This prevents the client from timing out and assuming the request was lost.
Informational,103,checkpoint,,Used in the resumable requests proposal to resume aborted PUT or POST requests.
Success,200,OK,RFC 7231,Success. The request has succeeded. The information returned with the response is dependent on the method used in the request for example: GET an entity corresponding to the requested resource is sent in the response; HEAD the entity-header fields corresponding to the requested resource are sent in the response without any message-body; POST an entity describing or containing the result of the action; TRACE an entity containing the request message as received by the end server.
Success,201,Created,RFC 7231,The request has been fulfilled and resulted in a new resource being created. The newly created resource can be referenced by the URI(s) returned in the entity of the response with the most specific URL for the resource given by a Location header field. The origin server MUST create the resource before returning the 201 status code. If the action cannot be carried out immediately the server should respond with 202 (Accepted) response instead.
Success,202,Accepted,RFC 7231,The request has been accepted for processing but the processing has not been completed. The request MAY or MAY NOT eventually be acted upon as it MAY be disallowed when processing actually takes place. There is no facility for re-sending a status code from an asynchronous operation such as this. The 202 response is intentionally non-committal. Its purpose is to allow a server to accept a request for some other process (perhaps a batch-oriented process that is only run once per day) without requiring that the user agent's connection to the server persist until the process is completed. The entity returned with this response SHOULD include an indication of the request's current status and either a pointer to a status monitor or some estimate of when the user can expect the request to be fulfilled.
Success,203,Non-Authoritative Information,RFC 7231,The returned metainformation in the entity-header is not the definitive set as available from the origin server but is gathered from a local or a third-party copy. The set presented MAY be a subset or superset of the original version. For example including local annotation information about the resource MAY result in a superset of the metainformation known by the origin server. Use of this response code is not required and is only appropriate when the response would otherwise be 200 (OK).
Success,204,No Content,RFC 7231,The server has fulfilled the request but there is no new information to send back. If the client is a user agent it SHOULD NOT change its document view from that which caused the request to be sent. This response is primarily intended to allow input for actions to take place without causing a change to the user agent's active document view. The response MAY include new metainformation in the form of entity-headers which SHOULD apply to the document currently in the user agent's active view. The 204 response MUST NOT include a message-body and thus is always terminated by the first empty line after the header fields.
Success,205,Reset Content,RFC 7231,The server has fulfilled the request and the user agent SHOULD reset the document view which caused the request to be sent. This response is primarily intended to allow input for actions to take place via user input followed by a clearing of the form in which the input is given so that the user can easily initiate another input action. The response MUST NOT include an entity.
Success,206,Partial Content,RFC 7233,The server has fulfilled the partial GET request for the resource. The request must have included a Range header field (section 14.36) indicating the desired range. The response MUST include either a Content-Range header field (section 14.17) indicating the range included with this response or a multipart/byteranges Content-Type including Content-Range fields for each part. If multipart/byteranges is not used the Content-Length header field in the response MUST match the actual number of OCTETs transmitted in the message-body. A cache that does not support the Range and Content-Range headers MUST NOT cache 206 (Partial) responses.
Success,207,Multi-Status,RFC 4918 WebDAV,The message body that follows is an XML message and can contain a number of separate response codes depending on how many sub-requests were made.[
Success,208,Already Reported,RFC 5842 WebDAV,The members of a DAV binding have already been enumerated in a previous reply to this request and are not being included again.
Success,226,IM Used,RFC 3229,The server has fulfilled a request for the resource and the response is a representation of the result of one or more instance-manipulations applied to the current instance.
Redirect,300,Multiple Choices,RFC 7231,The requested resource corresponds to any one of a set of representations each with its own specific location and agent-driven negotiation information (section 12) is being provided so that the user (or user agent) can select a preferred representation and redirect its request to that location. Unless it was a HEAD request the response SHOULD include an entity containing a list of resource characteristics and location(s) from which the user or user agent can choose the one most appropriate. The entity format is specified by the media type given in the Content-Type header field. Depending upon the format and the capabilities of the user agent selection of the most appropriate choice may be performed automatically. However this specification does not define any standard for such automatic selection. If the server has a preferred choice of representation it SHOULD include the specific URL for that representation in the Location field; user agents MAY use the Location field value for automatic redirection. This response is cachable unless indicated otherwise.
