"pubdate","title","duration","enclosure","length","guid","logo"
"3/19/2016 4:26:31 PM","Cocktail Nation 396 Out Of Abingdon","00:59:17","http://cocktailnation.podbean.com/mf/feed/ze6gzt/cn396.mp3","56914675","http://cocktailnation.podbean.com/e/cocktail-nation-396-out-of-abingdon/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"3/16/2016 3:37:03 PM","Cocktail Nation -Evenings At The Penthouse- The Solitude Of The Apartment","00:28:16","http://cocktailnation.podbean.com/mf/feed/ryafv8/cnev11mix.mp3","27136336","http://cocktailnation.podbean.com/e/cocktail-nation-evenings-at-the-penthouse-the-solitude-of-the-apartment/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"3/12/2016 2:27:11 AM","Cocktail Nation 395  Modernism Week","01:08:55","http://cocktailnation.podbean.com/mf/feed/sp99kr/cn395.mp3","66153663","http://cocktailnation.podbean.com/e/cocktail-nation-395-modernism-week/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"3/9/2016 2:40:49 PM","Cocktail Nation Evenings At The Penthouse-Good Friends Good Times","00:29:02","http://cocktailnation.podbean.com/mf/feed/pjy3hb/cnev10mix.mp3","69668596","http://cocktailnation.podbean.com/e/cocktail-nation-evenings-at-the-penthouse-good-friends-good-times/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"3/5/2016 2:16:17 PM","Cocktail Nation 394  Euro Spy Agente Logan - Missione Ypotron","00:57:38","http://cocktailnation.podbean.com/mf/feed/eisw75/cn394.mp3","55318907","http://cocktailnation.podbean.com/e/cocktail-nation-394-euro-spy-agente-logan-missione-ypotron/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"3/2/2016 1:58:51 PM","Cocktail Nation-Evenings At The Penthouse-Solving The Worlds Problems","00:30:54","http://cocktailnation.podbean.com/mf/feed/a9qfwj/cnev9mix.mp3","74136580","http://cocktailnation.podbean.com/e/cocktail-nation-evenings-at-the-penthouse-solving-the-worlds-problems/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"2/27/2016 2:26:38 PM","Cocktail Nation 393  Classic Comedy Rodney Dangerfield","01:01:41","http://cocktailnation.podbean.com/mf/feed/6u5drw/cn393.mp3","59218466","http://cocktailnation.podbean.com/e/cocktail-nation-393-classic-comedy-rodney-dangerfield/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"2/24/2016 2:18:59 PM","Cocktail Nation-Evenings At The Penthouse-It Swings Dad","00:31:18","http://cocktailnation.podbean.com/mf/feed/tyr8gc/cnev8mix.mp3","30039480","http://cocktailnation.podbean.com/e/cocktail-nation-evenings-at-the-penthouse-it-swings-dad/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"2/20/2016 1:53:40 PM","Cocktail Nation 392  Charged With Seduction","01:02:05","http://cocktailnation.podbean.com/mf/feed/2h7y4b/cn392.mp3","59602570","http://cocktailnation.podbean.com/e/cocktail-nation-392-charged-with-seduction/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
"2/17/2016 1:23:25 PM","Cocktail Nation-Evenings At The Penthouse-The Cure","00:31:23","http://cocktailnation.podbean.com/mf/feed/caxez2/cnev7mix.mp3","30131013","http://cocktailnation.podbean.com/e/cocktail-nation-evenings-at-the-penthouse-the-cure/","http://cocktailnation.podbean.com/mf/web/pvm76/logo.jpg"
