Code,URL,Name
0x00000001,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x1__apc_index_mismatch.htm,APC_INDEX_MISMATCH
0x00000002,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x2__device_queue_not_busy.htm,DEVICE_QUEUE_NOT_BUSY
0x00000003,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x3__invalid_affinity_set.htm,INVALID_AFFINITY_SET
0x00000004,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x4__invalid_data_access_trap.htm,INVALID_DATA_ACCESS_TRAP
0x00000005,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x5__invalid_process_attach_attempt.htm,INVALID_PROCESS_ATTACH_ATTEMPT
0x00000006,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x6__invalid_process_detach_attempt.htm,INVALID_PROCESS_DETACH_ATTEMPT
0x00000007,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x7__invalid_software_interrupt.htm,INVALID_SOFTWARE_INTERRUPT
0x00000008,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x8__irql_not_dispatch_level.htm,IRQL_NOT_DISPATCH_LEVEL
0x00000009,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x9__irql_not_greater_or_equal.htm,IRQL_NOT_GREATER_OR_EQUAL
0x0000000A,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xa__irql_not_less_or_equal.htm,IRQL_NOT_LESS_OR_EQUAL
0x0000000B,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xb__no_exception_handling_support.htm,NO_EXCEPTION_HANDLING_SUPPORT
0x0000000C,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xc__maximum_wait_objects_exceeded.htm,MAXIMUM_WAIT_OBJECTS_EXCEEDED
0x0000000D,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xd__mutex_level_number_violation.htm,MUTEX_LEVEL_NUMBER_VIOLATION
0x0000000E,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0xe__no_user_mode_context.htm,NO_USER_MODE_CONTEXT
