"Error","Code","Description"
"ERRINFO_RPC_INITIATED_DISCONNECT","1","The disconnection was initiated by an administrative tool on the server in another session."
"ERRINFO_RPC_INITIATED_LOGOFF","2","The disconnection was due to a forced logoff initiated by an administrative tool on the server in another session."
"ERRINFO_IDLE_TIMEOUT","3","The idle session limit timer on the server has elapsed."
"ERRINFO_LOGON_TIMEOUT","4","The active session limit timer on the server has elapsed."
"ERRINFO_DISCONNECTED_BY_OTHERCONNECTION","5","Another user connected to the server, forcing the disconnection of the current connection."
"ERRINFO_OUT_OF_MEMORY","6","The server ran out of available memory resources."
"ERRINFO_SERVER_DENIED_CONNECTION","7","The server denied the connection."
"ERRINFO_SERVER_INSUFFICIENT_PRIVILEGES","9","The user cannot connect to the server due to insufficient access privileges."
"ERRINFO_SERVER_FRESH_CREDENTIALS_REQUIRED","10","The server does not accept saved user credentials and requires that the user enter their credentials for each connection."
"ERRINFO_RPC_INITIATED_DISCONNECT_BYUSER","11","The disconnection was initiated by an administrative tool on the server running in the user's session."
"ERRINFO_LOGOFF_BY_USER","12","The disconnection was initiated by the user logging off his or her session on the server."
"ERRINFO_LICENSE_INTERNAL","256","An internal error has occurred in the Terminal Services licensing component."
"ERRINFO_LICENSE_NO_LICENSE_SERVER","257","A Remote Desktop License Server ([MS-RDPELE] section 1.1) could not be found to provide a license."
"ERRINFO_LICENSE_NO_LICENSE","258","There are no Client Access Licenses ([MS-RDPELE] section 1.1) available for the target remote computer."
"ERRINFO_LICENSE_BAD_CLIENT_MSG","259","The remote computer received an invalid licensing message from the client."
"ERRINFO_LICENSE_HWID_DOESNT_MATCH_LICENSE","260","The Client Access License ([MS-RDPELE] section 1.1) stored by the client has been modified."
"ERRINFO_LICENSE_BAD_CLIENT_LICENSE","261","The Client Access License ([MS-RDPELE] section 1.1) stored by the client is in an invalid format"
"ERRINFO_LICENSE_CANT_FINISH_PROTOCOL","262","Network problems have caused the licensing protocol ([MS-RDPELE] section 1.3.3) to be terminated."
"ERRINFO_LICENSE_CLIENT_ENDED_PROTOCOL","263","The client prematurely ended the licensing protocol ([MS-RDPELE] section 1.3.3)."
"ERRINFO_LICENSE_BAD_CLIENT_ENCRYPTION","264","A licensing message ([MS-RDPELE] sections 2.2 and 5.1) was incorrectly encrypted."
"ERRINFO_LICENSE_CANT_UPGRADE_LICENSE","265","The Client Access License ([MS-RDPELE] section 1.1) stored by the client could not be upgraded or renewed."
"ERRINFO_LICENSE_NO_REMOTE_CONNECTIONS","266","The remote computer is not licensed to accept remote connections."
"ERRINFO_CB_DESTINATION_NOT_FOUND","1024","The target endpoint could not be found."
"ERRINFO_CB_LOADING_DESTINATION","1026","The target endpoint to which the client is being redirected is disconnecting from the Connection Broker."
"ERRINFO_CB_REDIRECTING_TO_DESTINATION","1028","An error occurred while the connection was being redirected to the target endpoint."
"ERRINFO_CB_SESSION_ONLINE_VM_WAKE","1029","An error occurred while the target endpoint (a virtual machine) was being awakened."
"ERRINFO_CB_SESSION_ONLINE_VM_BOOT","1030","An error occurred while the target endpoint (a virtual machine) was being started."
"ERRINFO_CB_SESSION_ONLINE_VM_NO_DNS","1031","The IP address of the target endpoint (a virtual machine) cannot be determined."
"ERRINFO_CB_DESTINATION_POOL_NOT_FREE","1032","There are no available endpoints in the pool managed by the Connection Broker."
"ERRINFO_CB_CONNECTION_CANCELLED","1033","Processing of the connection has been cancelled."
"ERRINFO_CB_CONNECTION_ERROR_INVALID_SETTINGS","1040","The settings contained in the routingToken field of the X.224 Connection Request PDU (section 2.2.1.1) cannot be validated."
"ERRINFO_CB_SESSION_ONLINE_VM_BOOT_TIMEOUT","1041","A time-out occurred while the target endpoint (a virtual machine) was being started."
"ERRINFO_CB_SESSION_ONLINE_VM_SESSMON_FAILED","1042","A session monitoring error occurred while the target endpoint (a virtual machine) was being started."
"ERRINFO_UNKNOWNPDUTYPE2","4297","Unknown pduType2 field in a received Share Data Header (section 2.2.8.1.1.1.2)."
"ERRINFO_UNKNOWNPDUTYPE","4298","Unknown pduType field in a received Share Control Header (section 2.2.8.1.1.1.1)."
"ERRINFO_DATAPDUSEQUENCE","4299","An out-of-sequence Slow-Path Data PDU (section 2.2.8.1.1.1.1) has been received."
"ERRINFO_CONTROLPDUSEQUENCE","4301","An out-of-sequence Slow-Path Non-Data PDU (section 2.2.8.1.1.1.1) has been received."
"ERRINFO_INVALIDCONTROLPDUACTION","4302","A Control PDU (sections 2.2.1.15 and 2.2.1.16) has been received with an invalid action field."
"ERRINFO_INVALIDINPUTPDUTYPE","4303","One of two possible errors:
A Slow-Path Input Event (section 2.2.8.1.1.3.1.1) has been received with an invalid messageType field.
A Fast-Path Input Event (section 2.2.8.1.2.2) has been received with an invalid eventCode field."
