#TYPE MyAsciiData
"Number","Collection","Symbol","HTMLNumber","HTMLName","Description"
"0","Control","NUL","&#00;","","Ctrl-@ Null character"
"1","Control","SOH","&#01;","","Ctrl-A Start of Heading"
"2","Control","STX","&#02;","","Ctrl-B Start of Text"
"3","Control","ETX","&#03;","","Ctrl-C End of Text"
"4","Control","EOT","&#04;","","Ctrl-D End of Transmission"
"5","Control","ENQ","&#05;","","Ctrl-E Enquiry"
"6","Control","ACK","&#06;","","Ctrl-F Acknowledge"
"7","Control","BEL","&#07;","","Ctrl-G Bell, Alert"
"8","Control","BS","&#08;","","Ctrl-H Backspace"
"9","Control","HT","&#09;","","Ctrl-I Horizontal Tab"
"10","Control","LF","&#10;","","Ctrl-J Line Feed"
"11","Control","VT","&#11;","","Ctrl-K Vertical Tabulation"
"12","Control","FF","&#12;","","Ctrl-L Form Feed"
"13","Control","CR","&#13;","","Ctrl-M Carriage Return"
"14","Control","SO","&#14;","","Ctrl-N Shift Out"
"15","Control","SI","&#15;","","Ctrl-O Shift In"
"16","Control","DLE","&#16;","","Ctrl-P Data Link Escape"
"17","Control","DC1","&#17;","","Ctrl-Q Device Control One (XON)"
"18","Control","DC2","&#18;","","Ctrl-R Device Control Two"
"19","Control","DC3","&#19;","","Ctrl-S Device Control Three (XOFF)"
"20","Control","DC4","&#20;","","Ctrl-T Device Control Four"
"21","Control","NAK","&#21;","","Ctrl-U Negative Acknowledge"
"22","Control","SYN","&#22;","","Ctrl-V Synchronous Idle"
"23","Control","ETB","&#23;","","Ctrl-W End of Transmission Block"
"24","Control","CAN","&#24;","","Ctrl-X Cancel"
"25","Control","EM","&#25;","","Ctrl-Y End of medium"
"26","Control","SUB","&#26;","","Ctrl-Z Substitute"
"27","Control","ESC","&#27;","","Ctrl-[ Escape"
"28","Control","FS","&#28;","","Ctrl-\ File Separator"
"29","Control","GS","&#29;","","Ctrl-] Group Separator"
"30","Control","RS","&#30;","","Ctrl-^ Record Separator"
"31","Control","US","&#31;","","Ctrl-_ Unit Separator"
"32","Printable","SP","&#32;","","Space"
"33","Printable","!","&#33;","&excl;","Exclamation mark"
"34","Printable","""","&#34;","&quot;","Double quotes (or speech marks)"
"35","Printable","#","&#35;","&num;","Number sign - octothorpe, hash, pound sign"
"36","Printable","$","&#36;","&dollar;","Dollar"
"37","Printable","%","&#37;","&percnt;","Per cent sign"
"38","Printable","&","&#38;","&amp;","Ampersand"
"39","Printable","'","&#39;","&apos;","Single quote"
"40","Printable","(","&#40;","&lparen;","Open parenthesis"
"41","Printable",")","&#41;","&rparen;","Close parenthesis"
"42","Printable","*","&#42;","&ast;","Asterisk"
"43","Printable","+","&#43;","&plus;","Plus"
"44","Printable",",","&#44;","&comma;","Comma"
"45","Printable","-","&#45;","","Hyphen-minus"
"46","Printable",".","&#46;","&period;","Period, dot or full stop"
"47","Printable","/","&#47;","&sol;","Slash or divide"
"48","Printable","0","&#48;","","Zero"
"49","Printable","1","&#49;","","One"
"50","Printable","2","&#50;","","Two"
"51","Printable","3","&#51;","","Three"
"52","Printable","4","&#52;","","Four"
"53","Printable","5","&#53;","","Five"
"54","Printable","6","&#54;","","Six"
"55","Printable","7","&#55;","","Seven"
"56","Printable","8","&#56;","","Eight"
"57","Printable","9","&#57;","","Nine"
"58","Printable",":","&#58;","&colon;","Colon"
"59","Printable",";","&#59;","&semi;","Semicolon"
"60","Printable","<","&#60;","&lt;","Less than (or open angled bracket)"
"61","Printable","=","&#61;","&equals;","Equals"
"62","Printable",">","&#62;","&gt;","Greater than (or close angled bracket)"
"63","Printable","?","&#63;","&quest;","Question mark"
"64","Printable","@","&#64;","&commat;","At sign"
"65","Printable","A","&#65;","","Uppercase A"
"66","Printable","B","&#66;","","Uppercase B"
"67","Printable","C","&#67;","","Uppercase C"
"68","Printable","D","&#68;","","Uppercase D"
"69","Printable","E","&#69;","","Uppercase E"
"70","Printable","F","&#70;","","Uppercase F"
"71","Printable","G","&#71;","","Uppercase G"
"72","Printable","H","&#72;","","Uppercase H"
"73","Printable","I","&#73;","","Uppercase I"
"74","Printable","J","&#74;","","Uppercase J"
"75","Printable","K","&#75;","","Uppercase K"
"76","Printable","L","&#76;","","Uppercase L"
"77","Printable","M","&#77;","","Uppercase M"
"78","Printable","N","&#78;","","Uppercase N"
"79","Printable","O","&#79;","","Uppercase O"
"80","Printable","P","&#80;","","Uppercase P"
"81","Printable","Q","&#81;","","Uppercase Q"
"82","Printable","R","&#82;","","Uppercase R"
"83","Printable","S","&#83;","","Uppercase S"
"84","Printable","T","&#84;","","Uppercase T"
"85","Printable","U","&#85;","","Uppercase U"
"86","Printable","V","&#86;","","Uppercase V"
"87","Printable","W","&#87;","","Uppercase W"
"88","Printable","X","&#88;","","Uppercase X"
"89","Printable","Y","&#89;","","Uppercase Y"
"90","Printable","Z","&#90;","","Uppercase Z"
"91","Printable","[","&#91;","&lsqb;","Opening bracket"
"92","Printable","\","&#92;","&bsol;","Backslash"
"93","Printable","]","&#93;","&rsqb;","Closing bracket"
"94","Printable","^","&#94;","&Hat;","Caret - circumflex"
"95","Printable","_","&#95;","&lowbar;","Underscore"
"96","Printable","`","&#96;","&grave;","Grave accent"
"97","Printable","a","&#97;","","Lowercase a"
"98","Printable","b","&#98;","","Lowercase b"
"99","Printable","c","&#99;","","Lowercase c"
"100","Printable","d","&#100;","","Lowercase d"
"101","Printable","e","&#101;","","Lowercase e"
"102","Printable","f","&#102;","","Lowercase f"
"103","Printable","g","&#103;","","Lowercase g"
"104","Printable","h","&#104;","","Lowercase h"
"105","Printable","i","&#105;","","Lowercase i"
"106","Printable","j","&#106;","","Lowercase j"
"107","Printable","k","&#107;","","Lowercase k"
"108","Printable","l","&#108;","","Lowercase l"
"109","Printable","m","&#109;","","Lowercase m"
"110","Printable","n","&#110;","","Lowercase n"
"111","Printable","o","&#111;","","Lowercase o"
"112","Printable","p","&#112;","","Lowercase p"
"113","Printable","q","&#113;","","Lowercase q"
"114","Printable","r","&#114;","","Lowercase r"
"115","Printable","s","&#115;","","Lowercase s"
"116","Printable","t","&#116;","","Lowercase t"
"117","Printable","u","&#117;","","Lowercase u"
"118","Printable","v","&#118;","","Lowercase v"
"119","Printable","w","&#119;","","Lowercase w"
"120","Printable","x","&#120;","","Lowercase x"
"121","Printable","y","&#121;","","Lowercase y"
"122","Printable","z","&#122;","","Lowercase z"
"123","Printable","{","&#123;","&lcub;","Opening brace"
"124","Printable","|","&#124;","&verbar;","Vertical bar"
"125","Printable","}","&#125;","&rcub;","Closing brace"
"126","Printable","~","&#126;","&tilde;","Equivalency sign - tilde"
"127","Control","DEL","&#127;","","Ctrl-? Delete"
"128","Extended","€","&#8364;","&euro;","Euro sign"
"129","Extended","","","","Unused"
"130","Extended","‚","&#130;","&sbquo;","Single low-9 quotation mark"
"131","Extended","ƒ","&#131;","&fnof;","Latin small letter f with hook"
"132","Extended","„","&#132;","&bdquo;","Double low-9 quotation mark"
